GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
l3-poo-war,fr.pantheonsorbonne.miage.enums,CardColor,5,78,1,3,1,13,1,5,0,4
l3-poo-war,fr.pantheonsorbonne.miage.enums,CardValue,5,163,1,3,1,25,1,6,0,5
l3-poo-war,fr.pantheonsorbonne.miage.exception,NoMoreCardException,3,0,0,0,1,0,1,0,1,0
l3-poo-war,fr.pantheonsorbonne.miage,UnoGamePlayer,59,378,9,43,13,76,8,29,1,10
l3-poo-war,fr.pantheonsorbonne.miage,UnoGameNetworkEngine,330,0,18,0,68,0,19,0,10,0
l3-poo-war,fr.pantheonsorbonne.miage,LocalGameUno,38,300,5,19,11,62,5,21,1,13
l3-poo-war,fr.pantheonsorbonne.miage,UnoGameNetorkPlayer,347,0,33,0,85,0,31,0,11,0
l3-poo-war,fr.pantheonsorbonne.miage,UnoGameEngine,147,223,16,18,45,72,11,20,1,11
l3-poo-war,fr.pantheonsorbonne.miage.game,Discard,3,14,0,0,1,4,1,3,1,3
l3-poo-war,fr.pantheonsorbonne.miage.game,Card,3,104,1,5,1,21,1,11,0,9
l3-poo-war,fr.pantheonsorbonne.miage.game,Deck,0,166,0,26,0,27,0,17,0,4
l3-poo-war,fr.pantheonsorbonne.miage.utils,ConsoleColors,3,0,0,0,1,0,1,0,1,0
